word	pos	msd
# sentence 57d1b562
Denna	DT	DT.UTR.SIN.DEF
tabell	NN	NN.UTR.SIN.IND.NOM
:	MID	MID
visa	VB	VB.INF.AKT
•	MAD	MAD
redigera	VB	VB.INF.AKT

# paragraph 
# sentence 57dca69f
Nedflyttningsserien	NN	NN.UTR.SIN.DEF.NOM

# paragraph 
# sentence 57d40fc6
Poängtabell	NN	NN.UTR.SIN.IND.NOM

# paragraph 
# sentence 57d59cc6
Denna	DT	DT.UTR.SIN.DEF
tabell	NN	NN.UTR.SIN.IND.NOM
:	MID	MID
visa	VB	VB.INF.AKT
•	MAD	MAD
redigera	VB	VB.INF.AKT

# paragraph 
# sentence 57dd8109
Resultattabell	NN	NN.UTR.SIN.IND.NOM

# paragraph 
# sentence 57d7ca7f
Denna	DT	DT.UTR.SIN.DEF
tabell	NN	NN.UTR.SIN.IND.NOM
:	MID	MID
visa	VB	VB.INF.AKT
•	MAD	MAD
redigera	VB	VB.INF.AKT

# text 
# paragraph 
# sentence 57d86251
10005	RG	RG.NOM
Chernega	PM	PM.NOM

# paragraph 
# sentence 57df97f2
10005	RG	RG.NOM
Chernega	PM	PM.NOM
(	PAD	PAD
Provisorisk	JJ	JJ.POS.UTR.SIN.IND.NOM
beteckning	NN	NN.UTR.SIN.IND.NOM
:	MID	MID
1976	RG	RG.NOM
SS2	PM	PM.NOM
)	PAD	PAD
är	VB	VB.PRS.AKT
en	DT	DT.UTR.SIN.IND
asteroid	NN	NN.UTR.SIN.IND.NOM
i	PP	PP
asteroidbältet	NN	NN.NEU.SIN.DEF.NOM
,	MID	MID
upptäckt	PC	PC.PRF.UTR.SIN.IND.NOM
24	RG	RG.NOM
september	NN	NN.UTR.SIN.IND.NOM
1976	RG	RG.NOM
av	PP	PP
N	PM	PM.NOM
.	MAD	MAD

# sentence 57d68896
S.	NN	NN.AN
Tjernych	PM	PM.NOM
vid	PP	PP
Krims	PM	PM.GEN
astrofysiska	JJ	JJ.POS.UTR+NEU.SIN.DEF.NOM
observatorium	NN	NN.NEU.SIN.IND.NOM
på	PP	PP
Krim	PM	PM.NOM
.	MAD	MAD

# sentence 57dfc904
Asteroiden	NN	NN.UTR.SIN.DEF.NOM
har	VB	VB.PRS.AKT
fått	VB	VB.SUP.AKT
sitt	PS	PS.NEU.SIN.DEF
namn	NN	NN.NEU.SIN.IND.NOM
efter	PP	PP
Nikolaj	PM	PM.NOM
Akimovich	PM	PM.NOM
Chernega	PM	PM.NOM
,	MID	MID
chefen	NN	NN.UTR.SIN.DEF.NOM
för	PP	PP
astronomiinstitutionen	NN	NN.UTR.SIN.DEF.NOM
vid	PP	PP
Kievs	PM	PM.GEN
universitet	NN	NN.NEU.SIN.IND.NOM
1961-1968	RG	RG.NOM
.	MAD	MAD

# text 
# paragraph 
# sentence 57df6881
1000	RG	RG.NOM
år	NN	NN.NEU.PLU.IND.NOM
–	PP	PP
En	DT	DT.UTR.SIN.IND
svensk	JJ	JJ.POS.UTR.SIN.IND.NOM
historia	NN	NN.UTR.SIN.IND.NOM

# paragraph 
# sentence 57dbc0b4
1000	RG	RG.NOM
år	NN	NN.NEU.PLU.IND.NOM
–	VB	VB.PRS.AKT
en	DT	DT.UTR.SIN.IND
svensk	JJ	JJ.POS.UTR.SIN.IND.NOM
historia	NN	NN.UTR.SIN.IND.NOM
är	VB	VB.PRS.AKT
en	DT	DT.UTR.SIN.IND
svensk	JJ	JJ.POS.UTR.SIN.IND.NOM
dokumentärserie	NN	NN.UTR.SIN.IND.NOM
i	PP	PP
sex	RG	RG.NOM
delar	NN	NN.UTR.PLU.IND.NOM
av	PP	PP
Hans	PM	PM.NOM
Villius	PM	PM.NOM
och	KN	KN
Olle	PM	PM.NOM
Häger	PM	PM.NOM
om	PP	PP
Sveriges	PM	PM.GEN
historia	NN	NN.UTR.SIN.IND.NOM
.	MAD	MAD

# paragraph 
# sentence 57d46c98
Programmet	NN	NN.NEU.SIN.DEF.NOM
sändes	VB	VB.PRT.SFO
ursprungligen	AB	AB
i	PP	PP
sex	RG	RG.NOM
delar	NN	NN.UTR.PLU.IND.NOM
på	PP	PP
vardera	DT	DT.UTR+NEU.SIN.DEF
fyrtio	RG	RG.NOM
minuter	NN	NN.UTR.PLU.IND.NOM
i	PP	PP
TV2	PM	PM.NOM
i	PP	PP
oktober-november	NN	NN.UTR.SIN.IND.NOM
1980	RG	RG.NOM
:	MID	MID
•	NN	NN.AN
Avsnitt	NN	NN.NEU.SIN.IND.NOM
1	RG	RG.NOM
:	MID	MID
Och	KN	KN
hans	PS	PS.UTR+NEU.SIN+PLU.DEF
namn	NN	NN.NEU.SIN.IND.NOM
var	VB	VB.PRT.AKT
döden	NN	NN.UTR.SIN.DEF.NOM
.	MAD	MAD

# sentence 57d03774
Medeltiden	NN	NN.UTR.SIN.DEF.NOM
.	MAD	MAD

# sentence 57d2c3ce
Sändes	VB	VB.PRT.SFO
21	RG	RG.NOM
oktober	NN	NN.UTR.SIN.IND.NOM
1980	RG	RG.NOM
.	MAD	MAD

# sentence 57d02f13
•	NN	NN.AN
Avsnitt	NN	NN.NEU.SIN.IND.NOM
2	RG	RG.NOM
:	MID	MID
Oss	PN	PN.UTR.PLU.DEF.OBJ
och	KN	KN
Kronan	NN	NN.UTR.SIN.DEF.NOM
till	PP	PP
.	MAD	MAD

# sentence 57db0a24
1500-talet	NN	NN.NEU.SIN.DEF.NOM
.	MAD	MAD

# sentence 57dd8608
Sändes	VB	VB.PRT.SFO
28	RG	RG.NOM
oktober	NN	NN.UTR.SIN.IND.NOM
1980	RG	RG.NOM
.	MAD	MAD

# sentence 57d6a3db
•	NN	NN.AN
Avsnitt	NN	NN.NEU.SIN.IND.NOM
